OBJECTID,Lease or Claim Name,Lease or Claim Type,Commodity,Stock Raising Homestead Act,MLRS Casefile Number,Casefile Number,Case Type,BLM Administrative Unit,GIS Acres,GLOBALID,Shape__Area,Shape__Length
1,WS 71,PlacerClaim,UN,U,OR101787002,ORMC173722,384201,ORV04,159.90793814,5a38917a-9ead-4329-b291-9787b413de5a,7.26050989214855E-05,0.0345305577623955
2,WS 89,PlacerClaim,UN,U,OR101788035,ORMC173740,384201,ORV04,79.66701774,70ea5bdd-26bd-4ac6-bfa4-8495dcd0ea27,3.61721431545448E-05,0.0272268985288315
3,WS 90,PlacerClaim,UN,U,OR101788036,ORMC173741,384201,ORV04,79.66701774,a0ddcbf7-d5e2-482d-b131-f8401f7085c9,3.61721431545448E-05,0.0272268985288315
4,GS 125,LodeClaim,UN,U,OR101552258,ORMC175655,384101,ORV05,152.5069398,d034146c-e3d4-4800-bdc0-44ea763f2508,6.96702541063132E-05,0.0337270537668102
5,GS 123,LodeClaim,UN,U,OR101552256,ORMC175653,384101,ORV05,76.56581762,02a47bdb-1045-4760-8eea-80b2210735d8,3.49734486917441E-05,0.0241342548921716
6,GS 124,LodeClaim,UN,U,OR101552257,ORMC175654,384101,ORV05,76.2642016,72d7198a-8498-4ebd-958a-2c07c7520ff7,3.48399198628613E-05,0.0241031811933119
7,GS 124,LodeClaim,UN,U,OR101552257,ORMC175654,384101,ORV05,76.56581762,02dfc1c0-814e-4248-a2b1-11f80bb85542,3.49734486917441E-05,0.0241342548921716
8,GS 125,LodeClaim,UN,U,OR101552258,ORMC175655,384101,ORV05,76.2642016,b6922156-b921-4ac0-8fe9-b1a37bb89745,3.48399198628613E-05,0.0241031811933119
9,GS 126,LodeClaim,UN,U,OR101552259,ORMC175656,384101,ORV05,152.5069398,43499154-bb6f-41f9-86ac-8410c7443edc,6.96702541063132E-05,0.0337270537668102
10,GS 126,LodeClaim,UN,U,OR101552259,ORMC175656,384101,ORV05,76.2642016,dd7dde65-4ec4-4a6b-a393-30caae357b0c,3.48399198628613E-05,0.0241031811933119
11,GS 127,LodeClaim,UN,U,OR101552260,ORMC175657,384101,ORV05,152.5069398,4c89e220-440f-413c-aeb6-a530f758901f,6.96702541063132E-05,0.0337270537668102
12,GS 127,LodeClaim,UN,U,OR101552260,ORMC175657,384101,ORV05,76.2642016,f55dec20-cd09-471b-b35d-0441b83234d6,3.48399198628613E-05,0.0241031811933119
13,GS 128,LodeClaim,UN,U,OR101552261,ORMC175658,384101,ORV05,152.5069398,2b47263f-b205-4ff8-83d7-2d4e924ed661,6.96702541063132E-05,0.0337270537668102
